1	21234036	沉思录	(古罗马) 玛克斯·奥勒留著	2019-05-11	2019-05-17	社科（1）
52	21570208	数字化生存	(美) 尼古拉·尼葛洛庞帝著	2018-03-23	2018-05-19	自科（2）		
53	21379441	计算机是怎样跑起来的	(日) 矢泽久雄著	2018-03-17	2018-03-23	自科（2）		
54	21387593	现代图论	殷剑宏, 金菊良编著	2018-03-17	2018-05-07	自科（1）		
55	21372282	程序是怎样跑起来的	(日) 矢泽久雄著	2018-03-17	2018-05-19	自科（2）		
56	21077021	人间失格	(日) 太宰治著	2018-03-13	2018-03-19	社科（4）		
57	21234776	无比芜杂的心绪:村上春树杂文集	(日) 村上春树著	2018-03-13	2018-03-17	社科（4）		
58	21571837	面向机器智能的TensorFlow实践	(美)山姆·亚伯拉罕(Sam Abrahams)[等]著	2018-03-08	2018-05-16	自科（2）		
59	21530734	白话深度学习与TensorFlow	高扬, 卫峥编著	2018-03-08	2018-04-08	自科（2）		
60	21583752	Python程序设计教程	林信良著	2018-03-04	2018-05-02	自科（2）		
61	21583752	Python程序设计教程	林信良著	2018-02-26	2018-02-26	自科（2）		
62	20879141	概率论与数理统计学习辅导	贺兴时, 薛红, 刘宣会编	2018-02-26	2018-05-02	自科（1）		
63	21199666	失重	陈忠实	2018-01-03	2018-01-12	社科（4）		
64	21579735	我与白鹿原	陈忠实著	2017-12-10	2018-01-12	社科（4）		
65	20879141	概率论与数理统计学习辅导	贺兴时, 薛红, 刘宣会编	2017-12-09	2018-02-26	自科（1）		
66	21607765	机器学习实践应用	李博著	2017-12-09	2018-02-26	自科（2）		
67	21446257	Python数据分析	(印尼) Ivan Idris著	2017-12-09	2018-02-26	自科（2）		
68	21246832	2014年计算机网络联考复习指导	王道论坛组编	2017-11-30	2018-01-12	自科（2）		
69	21350633	白岩松:行走在爱与恨之间	白岩松	2017-11-24	2017-12-09	社科（4）		
70	21334908	没有女人的男人们	(日) 村上春树著	2017-11-13	2017-11-25	社科（4）		
71	21199666	失重	陈忠实	2017-11-05	2018-01-03	社科（4）		
72	21415370	人性中的善良天使	(美) 斯蒂芬·平克著	2017-11-05	2017-11-05	社科（5）		
73	21580282	Python网络爬虫实战	胡松涛编著	2017-10-14	2017-12-03	自科（2）		
74	21306515	Python基础教程:from novice to professional.第2版	(挪) Magnus lie hetland著	2017-10-14	2017-11-18	自科（2）		
75	21446257	Python数据分析	(印尼) Ivan Idris著	2017-10-14	2017-12-09	自科（2）		
76	21306902	计算机网络:一种开源的设计实现方法:an open source approach	Ying-Dar Lin, Ren-Hung Hwang, (美) Fred Baker著	2017-10-11	2017-11-25	自科（2）		
77	21415370	人性中的善良天使	(美) 斯蒂芬·平克著	2017-09-05	2017-11-05	社科（5）		
78	21309322	冰河	余秋雨著	2017-08-16	2017-09-07	社科（4）		
79	20771458	计算机网络	武忠主编	2017-08-02	2017-09-05	自科（2）		
80	21277810	虚像小丑	(日) 东野圭吾著	2017-06-22	2017-07-06	社科（4）		
81	21358934	濒死之眼	(日) 东野圭吾著	2017-06-22	2017-07-06	社科（4）		
82	21238139	算法设计与分析.第3版	王晓东编著	2017-06-17	2017-09-05	自科（2）		
83	21285013	Python编程入门	(加) Toby Donaldson著	2017-06-03	2017-07-19	自科（2）		
84	21415370	人性中的善良天使	(美) 斯蒂芬·平克著	2017-06-01	2017-09-05	社科（5）		
85	21227562	操作系统:精髓与设计原理:internals and design principles	(美) William Stallings著	2017-04-24	2017-05-22	自科（2）		
86	21160770	Java从入门到精通:实例版	明日科技编著	2017-04-24	2017-06-18	自科（2）		
87	21286443	大型数据库系统应用 (Oracle 11g) 实验教程	主编杨宁	2017-04-18	2017-06-18	自科（2）		
88	21208861	Java趣味编程100例	衡友跃等编著	2017-04-18	2017-06-18	自科（2）		
89	21260093	电脑组装与维护实战从入门到精通	龙马工作室编著	2017-03-26	2017-05-22	自科（2）		
90	21208861	Java趣味编程100例	衡友跃等编著	2017-03-11	2017-04-18	自科（2）		
91	M2017021259	汇编语言	王爽著	2017-03-11	2017-04-18	自科（2）		
92	21338886	大数据分析:决胜互联网金融时代:emerging business intelligence and analytic trends for today's busi...	(美) Michael Minelli, Michele Chambers, Ambiga Dhiraj著	2017-03-04	2017-03-11	自科（1）		
