新和成(002001)	24.95	87.24	A	8.83	20.00	20.00	13.46	
国信证券(002736)	20.19	86.64	A	15.00	15.00	8.00	28.45	
TCL集团(000100)	17.52	85.33	A	9.49	20.00	20.00	18.32	
国元证券(000728)	21.35	85.19	A	15.00	15.00	8.00	25.84	
广发证券(000776)	20.77	84.12	A	15.00	15.00	8.00	25.35	
华侨城A(000069)	23.11	84.12	A	10.00	20.00	15.00	16.01	
国泰君安(601211)	19.90	83.16	A	15.00	15.00	8.00	25.26	
联发股份(002394)	23.94	82.36	A	8.33	20.00	15.00	15.09	
白云山(600332)	24.45	82.33	A	8.87	20.00	13.00	16.01	
中信证券(600030)	21.81	81.99	A	15.00	15.00	6.00	24.18	
塔牌集团(002233)	22.26	81.12	A	14.49	15.00	23.00	6.37	
伟星新材(002372)	25.43	80.77	A	14.57	15.00	23.00	2.77	
福耀玻璃(600660)	25.62	80.68	A	8.56	18.00	15.00	13.50	
中材科技(002080)	18.13	80.54	A	13.03	15.00	30.00	4.38	
安信信托(600816)	23.64	79.91	B	15.00	14.00	5.00	22.27	
闽东电力(000993)	12.59	79.59	B	10.00	20.00	18.50	18.50	
格力电器(000651)	25.46	79.49	B	9.30	20.00	19.00	5.73	
宝新能源(000690)	18.94	78.90	B	7.52	20.00	15.00	17.44	
天健集团(000090)	19.88	77.66	B	14.78	15.00	23.00	5.00	
五粮液(000858)	25.54	77.16	B	10.00	20.00	13.00	8.62	
汉缆股份(002498)	20.98	76.90	B	10.92	15.00	23.00	7.00	
万和电气(002543)	24.20	76.83	B	10.61	15.00	24.00	3.02	
利亚德(300296)	20.17	76.53	B	12.69	15.00	23.00	5.67	
万科A(000002)	23.72	76.43	B	15.00	15.00	8.00	14.71	
招商蛇口(001979)	24.46	76.25	B	15.00	15.00	8.00	13.79	
华润三九(000999)	20.24	76.20	B	10.00	20.00	20.00	5.96	
中国武夷(000797)	16.10	76.10	B	15.00	15.00	6.00	24.00	
亚邦股份(603188)	27.83	76.04	B	14.63	13.00	17.00	3.58	
北京银行(601169)	22.59	75.98	B	15.00	14.00	6.00	18.39	
伟星股份(002003)	25.31	75.97	B	7.27	20.00	15.00	8.39	
北化股份(002246)	13.48	75.73	B	15.00	15.00	30.00	2.25	
德美化工(002054)	18.84	75.62	B	14.96	15.00	23.00	3.82	
物产中大(600704)	22.87	75.49	B	9.93	18.00	11.00	13.69	
金风科技(002202)	23.09	75.31	B	15.00	15.00	20.00	2.22	
华兰生物(002007)	25.50	75.23	B	7.04	18.00	13.00	11.69	
正泰电器(601877)	25.72	75.15	B	15.00	15.00	17.00	2.43	
阳光城(000671)	16.13	75.13	B	13.00	12.00	6.00	28.00	
上海石化(600688)	25.04	75.06	B	10.44	14.00	18.00	7.58	
美的集团(000333)	24.23	74.93	B	10.00	20.00	15.00	5.70	
