国泰君安(601211)	17.66	34.52	D	4.00	0.00	0.00	12.86	
美好置业(000667)	15.44	34.44	D	4.00	0.00	0.00	15.00	
荣盛发展(002146)	20.76	34.44	D	0.29	0.00	0.00	13.39	
伊力特(600197)	21.42	34.42	D	3.00	0.00	0.00	10.00	
中原证券(601375)	17.46	34.37	D	4.00	0.00	0.00	12.91	
农业银行(601288)	19.67	34.36	D	4.00	0.00	0.00	10.69	
广宇发展(000537)	17.58	34.35	D	4.00	0.00	0.00	12.77	
今世缘(603369)	23.30	34.34	D	1.60	0.00	0.00	9.44	
招商银行(600036)	18.08	34.29	D	4.00	0.00	0.00	12.21	
索菲亚(002572)	24.39	34.27	D	1.25	0.00	0.00	8.63	
金地集团(600383)	19.84	34.26	D	4.00	0.00	0.00	10.42	
华发股份(600325)	18.55	34.26	D	0.71	0.00	0.00	15.00	
海通证券(600837)	17.31	34.23	D	4.00	0.00	0.00	12.92	
鼎捷软件(300378)	15.22	34.22	D	4.00	0.00	0.00	15.00	
山西汾酒(600809)	21.20	34.20	D	3.00	0.00	0.00	10.00	
迎驾贡酒(603198)	24.48	34.20	D	0.52	0.00	0.00	9.20	
睿能科技(603933)	20.55	34.13	D	4.00	0.00	0.00	9.58	
移为通信(300590)	23.29	34.06	D	4.00	0.00	0.00	6.77	
北辰实业(601588)	16.33	34.03	D	2.70	0.00	0.00	15.00	
天地源(600665)	15.08	34.01	D	4.00	0.00	0.00	14.93	
牧高笛(603908)	23.20	34.01	D	0.81	0.00	0.00	10.00	
金徽酒(603919)	23.40	33.97	D	2.48	0.00	0.00	8.09	
东吴证券(601555)	16.42	33.96	D	4.00	0.00	0.00	13.54	
天保基建(000965)	14.96	33.96	D	4.00	0.00	0.00	15.00	
意华股份(002897)	19.78	33.90	D	1.81	0.00	0.00	12.31	
华夏银行(600015)	16.56	33.86	D	4.00	0.00	0.00	13.30	
光大证券(601788)	16.97	33.85	D	4.00	0.00	0.00	12.88	
三湘印象(000863)	18.77	33.84	D	0.07	0.00	0.00	15.00	
航天信息(600271)	21.65	33.84	D	0.65	0.00	0.00	11.54	
山西证券(002500)	14.81	33.81	D	4.00	0.00	0.00	15.00	
深振业A(000006)	21.70	33.74	D	4.00	0.00	0.00	8.04	
金达威(002626)	24.77	33.74	D	2.48	0.00	0.00	6.49	
比音勒芬(002832)	24.07	33.73	D	1.41	0.00	0.00	8.25	
光大银行(601818)	17.44	33.72	D	4.00	0.00	0.00	12.28	
数字认证(300579)	22.23	33.71	D	4.00	0.00	0.00	7.48	
工商银行(601398)	17.92	33.62	D	4.00	0.00	0.00	11.70	
江苏租赁(600901)	15.76	33.60	D	4.00	0.00	0.00	13.84	
海天味业(603288)	24.59	33.57	D	3.00	0.00	0.00	5.98	
金科股份(000656)	17.15	33.50	D	4.00	0.00	0.00	12.35	
绝味食品(603517)	23.20	33.47	D	0.91	0.00	0.00	9.36	
雄帝科技(300546)	22.15	33.47	D	4.00	0.00	0.00	7.32	
莱绅通灵(603900)	22.73	33.46	D	1.58	0.00	0.00	9.15	
森马服饰(002563)	21.10	33.43	D	3.00	0.00	0.00	9.33	
哈三联(002900)	23.07	33.40	D	0.33	0.00	0.00	10.00	
亿联网络(300628)	24.24	33.38	D	4.00	0.00	0.00	5.14	
百川能源(600681)	24.22	33.33	D	2.26	0.00	0.00	6.85	
同花顺(300033)	25.24	33.31	D	2.55	0.00	0.00	5.52	
元祖股份(603886)	23.43	33.12	D	1.19	0.00	0.00	8.50	
新和成(002001)	23.89	33.06	D	2.14	0.00	0.00	7.03	
阳光城(000671)	14.04	33.04	D	4.00	0.00	0.00	15.00	
华侨城A(000069)	20.00	33.00	D	3.00	0.00	0.00	10.00	
徐家汇(002561)	23.41	32.99	D	0.35	0.00	0.00	9.23	
吉祥航空(603885)	20.40	32.97	D	3.00	0.00	0.00	9.57	
南威软件(603636)	20.57	32.94	D	2.98	0.00	0.00	9.39	
国海证券(000750)	15.46	32.93	D	4.00	0.00	0.00	13.47	
丽珠集团(000513)	22.94	32.92	D	2.02	0.00	0.00	7.96	
歌力思(603808)	21.25	32.80	D	2.03	0.00	0.00	9.52	
新华保险(601336)	14.13	32.80	D	4.00	0.00	0.00	14.67	
口子窖(603589)	21.91	32.73	D	0.82	0.00	0.00	10.00	
大名城(600094)	16.80	32.66	D	2.11	0.00	0.00	13.75	
中国神华(601088)	24.39	32.65	D	4.00	0.00	0.00	4.26	
南京银行(601009)	18.77	32.64	D	4.00	0.00	0.00	9.87	
